date,ensemble_forecast,lower_bound,upper_bound,arima_forecast,ets_forecast
2024-02-29,3.7856078127018202,1.6303377723259853,5.496511946314296,3.876849723855686,3.694365901547954
2024-03-31,3.8555001020084188,1.1212848271660565,6.050983555901286,4.022268402327091,3.6887318016897463
2024-04-30,3.912469947945847,0.808972359098242,9.882869825164398,4.141842194060156,3.6830977018315383
2024-05-31,3.958814023051427,0.565797540302406,11.074366838202401,4.240164444129523,3.67746360197333
2024-06-30,3.996420818174775,0.41066450532053994,11.161527116752056,4.321012134234428,3.6718295021151226
2024-07-31,4.0268431875565955,-0.02213195415187867,11.309622954575302,4.387490972856277,3.6661954022569145
2024-08-31,4.051358000657688,-0.14140443667960115,11.334809136564846,4.442154698916669,3.6605613023987065
2024-09-30,4.0710151922222035,-0.2523813253154973,11.440734525003938,4.487103181903907,3.654927202540499
2024-10-31,4.086678094799647,-0.358263913939132,11.529576856835462,4.524063086917004,3.649293102682291
2024-11-30,4.099056603071752,-0.46104503268459296,11.565499187128207,4.55445420331942,3.643659002824083
2024-12-31,4.108734443969043,-0.5619751617352778,11.588598451616999,4.579443984972211,3.638024902965875
2025-01-31,4.116191600139925,-0.6630889217000241,11.609010647824746,4.599992397172183,3.632390803107667
